model,task,created,log_file,dimension,construct,accuracy,stderr
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T19:25:59+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-25-59-00-00_tom-12dim-freeresponse_FgfhuBUd87XTDCUEGkNHUp.eval,ALL (overall),ALL (overall),0.8833333333333333,0.041793591990281174
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T19:25:59+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-25-59-00-00_tom-12dim-freeresponse_FgfhuBUd87XTDCUEGkNHUp.eval,Diverse Beliefs,Belief reasoning,0.8,0.19999999999999998
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T19:25:59+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-25-59-00-00_tom-12dim-freeresponse_FgfhuBUd87XTDCUEGkNHUp.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T19:25:59+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-25-59-00-00_tom-12dim-freeresponse_FgfhuBUd87XTDCUEGkNHUp.eval,Emotion Recognition,Emotion recognition,1.0,0.0
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T19:25:59+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-25-59-00-00_tom-12dim-freeresponse_FgfhuBUd87XTDCUEGkNHUp.eval,Faux Pas Detection,Pragmatic understanding,0.4,0.24494897427831783
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T19:25:59+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-25-59-00-00_tom-12dim-freeresponse_FgfhuBUd87XTDCUEGkNHUp.eval,First-Order False Belief,Belief reasoning,1.0,0.0
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T19:25:59+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-25-59-00-00_tom-12dim-freeresponse_FgfhuBUd87XTDCUEGkNHUp.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T19:25:59+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-25-59-00-00_tom-12dim-freeresponse_FgfhuBUd87XTDCUEGkNHUp.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T19:25:59+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-25-59-00-00_tom-12dim-freeresponse_FgfhuBUd87XTDCUEGkNHUp.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T19:25:59+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-25-59-00-00_tom-12dim-freeresponse_FgfhuBUd87XTDCUEGkNHUp.eval,Knowledge Access / Ignorance,Knowledge access,0.8,0.19999999999999998
