dataset,model,family,tier,date_years,row_errors,dimension,mastered,dim_rank,age_mid
pooled,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Diverse Desires,1,0,3
pooled,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Diverse Beliefs,1,1,4
pooled,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Knowledge Access / Ignorance,0,2,4
pooled,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Emotion Recognition,1,3,5.4
pooled,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,First-Order False Belief,0,4,5
pooled,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Intention vs. Accident,0,5,6
pooled,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Hidden Emotion (Appearance vs. Reality),0,6,7.25
pooled,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Second-Order False Belief,0,7,7.25
pooled,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,White Lies / Prosocial Deception,0,8,7.5
pooled,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Sarcasm,0,9,8.5
pooled,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Faux Pas Detection,0,10,10.5
pooled,openai-api/local/mistralai/mistral-7b-instruct,Mistral,Mistral small,-0.2628336755646817,2,Irony,1,11,8
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,4,Diverse Desires,1,0,3
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,4,Diverse Beliefs,1,1,4
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,4,Knowledge Access / Ignorance,1,2,4
